Block Size	ACK	MB/s	NACK	MB/s		cat | netcat		writefile	
33554432	0.15	213.3333333333	0.15	213.3333333333		0.123	260.162601626	0.076	421.0526315789
16777216	0.05	640	0.05	640					
8388608	0.11	290.9090909091	0.12	266.6666666667					
4194304	0.08	400	0.08	400					
2097152	0.05	640	0.05	640					
1048576	0.05	640	0.06	533.3333333333					
524288	0.06	533.3333333333	0.05	640					
262144	0.06	533.3333333333	0.06	533.3333333333					
131072	0.08	400	0.08	400					
65536	0.14	228.5714285714	0.14	228.5714285714					
32768	0.21	152.380952381	0.22	145.4545454545					
16384	0.38	84.2105263158	0.35	91.4285714286					
8192	0.37	86.4864864865	0.38	84.2105263158					
4096	0.39	82.0512820513	0.62	51.6129032258					
2048	0.41	78.0487804878	0.37	86.4864864865					
1024	0.88	36.3636363636	0.8	40					
512	1.55	20.6451612903	1.46	21.9178082192					
256	2.84	11.2676056338	2.59	12.3552123552					
128	6.05	5.2892561983	5.5	5.8181818182					
64	12.06	2.6533996683	10.99	2.9117379436					
32	25.59	1.2504884721	26.27	1.218119528					
